ReviewNumber,Framework,Variety,Style,Country,Stars,Top Ten
200,Nongshim,Bowl Noodle Spicy Chicken,Bowl,USA,4.5,
183,Nissin,Bowl Noodles Hot & Spicy Chicken,Bowl,USA,2,
166,Koyo,Garlic Pepper,Pack,USA,3.25,
156,Maruchan,Instant Lunch Cajun Style With chili Piquin Shrimp,Cup,USA,3,
154,Nissin,Creamy Chicken,Cup,USA,1.75,
153,Sapporo Ichiban,Shrimp Flavor,Cup,USA,1.75,
142,Nissin,Chow Mein Teriyaki Beef,Tray,USA,4.5,
137,Nissin,Bowl Noodles Rich & Savory Chicken,Bowl,USA,1.75,
108,Teriyaki Time,Ramen,Bowl,USA,2,
104,Maruchan,Ramen Noodle Soup Chicken,Pack,USA,2,
67,Maruchan,Ramen Noodle Soup Lime Chili Shrimp,Pack,USA,2,
66,Maruchan,Ramen Noodle Soup Pork,Pack,USA,4,
65,Nissin,Top Ramen Oriental,Pack,USA,2.5,
64,Sapporo Ichiban,Chicken Flavor,Pack,USA,3.5,
34,Maruchan,Ramen Noodle Soup Shrimp,Pack,USA,2,
23,Nissin,Top Ramen Creamy Chicken,Pack,USA,4.5,
10,Smack,Vegetable Beef,Pack,USA,1.5,
1,Westbrae,Miso Ramen,Pack,USA,0.5,